"competência";"seção";"saldomovimentação";"cbo2002ocupação";"categoria";"graudeinstrução";"idade";"horascontratuais";"tempoemprego";"raçacor";"sexo";"tipoempregador";"tipoestabelecimento";"tipomovimentação";"tipodedeficiência";"indtrabintermitente";"indtrabparcial";"salário";"tamestabjan";"indicadoraprendiz"
"202001";"J";-1;"212405";"101";"9";29;40;45;"6";"1";"0";"1";"31";"0";"0";"0";9283,58984375;"6";"0"
"202001";"J";-1;"212405";"101";"7";28;40;1;"6";"1";"0";"1";"40";"0";"0";"0";1758,31005859375;"4";"0"
"202001";"J";-1;"317110";"101";"9";62;40;17;"3";"1";"0";"1";"40";"0";"0";"0";7200;"7";"0"
"202001";"K";-1;"212405";"101";"8";52;36;35;"1";"1";"0";"1";"31";"0";"0";"0";11141,2001953125;"9";"0"
"202001";"P";-1;"212405";"999";"9";71;40;6;"1";"3";"0";"1";"40";"0";"0";"0";3863,35009765625;"7";"0"
"202001";"J";-1;"317110";"101";"9";24;40;8;"1";"1";"0";"1";"40";"0";"0";"0";5500;"5";"0"
"202001";"N";-1;"212405";"101";"9";26;40;44;"6";"1";"0";"1";"40";"0";"0";"0";2874,17993164062;"10";"0"
"202001";"N";-1;"212405";"101";"9";28;44;13;"1";"1";"0";"1";"31";"0";"0";"0";4211,080078125;"9";"0"
"202001";"J";-1;"212405";"101";"9";26;40;1;"1";"3";"0";"1";"40";"0";"0";"0";1800;"8";"0"
"202001";"J";-1;"212405";"101";"9";30;0;9;"1";"1";"0";"1";"40";"0";"0";"9";8692;"10";"0"
"202001";"J";-1;"212405";"101";"9";25;40;4;"1";"1";"0";"1";"31";"0";"0";"0";6000;"10";"0"
"202001";"J";-1;"212405";"101";"9";35;40;1;"1";"3";"0";"1";"40";"0";"0";"0";3230;"7";"0"
"202001";"G";-1;"212405";"101";"7";29;44;41;"2";"1";"0";"1";"40";"0";"0";"0";3141,89990234375;"7";"0"
"202001";"N";-1;"212405";"101";"8";27;44;6;"1";"1";"0";"1";"31";"0";"0";"0";1700;"4";"0"
"202001";"J";-1;"212405";"101";"9";41;40;63;"1";"1";"0";"1";"40";"0";"0";"0";7624,93017578125;"7";"0"
"202001";"P";-1;"212405";"101";"9";47;40;2;"1";"1";"0";"1";"43";"0";"0";"0";4000;"7";"0"
"202001";"G";-1;"317110";"101";"9";22;44;41;"6";"3";"0";"1";"40";"0";"0";"0";2241,17993164062;"4";"0"
"202001";"J";-1;"212405";"101";"9";56;40;5;"6";"1";"0";"1";"31";"0";"0";"0";6134,39990234375;"5";"0"
"202001";"N";-1;"212405";"999";"9";30;44;15;"1";"3";"0";"1";"40";"0";"0";"0";8797,33984375;"8";"0"
"202001";"J";-1;"317110";"101";"9";49;40;9;"1";"1";"0";"1";"40";"0";"0";"0";1620;"6";"0"
"202001";"P";-1;"212405";"101";"6";26;40;48;"2";"1";"0";"1";"40";"0";"0";"0";4522,97021484375;"9";"0"
"202001";"J";-1;"212405";"101";"9";44;40;0;"6";"1";"0";"1";"40";"0";"0";"0";3992,919921875;"6";"0"
"202001";"J";-1;"212405";"101";"9";33;40;8;"3";"3";"0";"1";"31";"0";"0";"0";12000;"10";"0"
"202001";"N";-1;"212405";"101";"9";24;44;10;"3";"1";"0";"1";"31";"0";"0";"0";1449,96997070312;"4";"0"
"202001";"J";-1;"212405";"101";"80";34;40;17;"1";"1";"0";"1";"31";"0";"0";"0";5904,72021484375;"8";"0"
"202001";"K";-1;"212405";"101";"9";42;44;45;"1";"1";"0";"1";"31";"0";"0";"0";6182,31982421875;"7";"0"
"202001";"S";-1;"212405";"101";"8";27;44;12;"1";"1";"0";"1";"31";"0";"0";"0";1800;"7";"0"
"202001";"J";-1;"212405";"101";"9";35;40;20;"3";"1";"0";"1";"31";"0";"0";"0";6000;"9";"0"
"202001";"J";-1;"212405";"101";"8";29;40;14;"6";"1";"0";"1";"40";"0";"0";"0";11660;"10";"0"
"202001";"J";-1;"212405";"101";"9";59;40;5;"6";"1";"0";"1";"31";"0";"0";"0";6112,2001953125;"5";"0"
"202001";"J";-1;"317110";"101";"8";20;40;15;"3";"1";"0";"1";"31";"0";"0";"0";1675,56005859375;"2";"0"
"202001";"J";-1;"212405";"101";"9";38;40;9;"1";"3";"0";"1";"40";"0";"0";"0";9500;"10";"0"
"202001";"N";-1;"212405";"101";"9";33;44;12;"1";"1";"0";"1";"40";"0";"0";"0";7129;"7";"0"
"202001";"J";-1;"317110";"101";"9";27;44;18;"1";"1";"0";"1";"40";"0";"0";"0";5544;"5";"0"
"202001";"J";-1;"212405";"101";"80";30;40;6;"1";"1";"0";"1";"40";"0";"0";"0";5425,0400390625;"7";"0"
"202001";"J";-1;"212405";"101";"7";23;40;18;"1";"1";"0";"1";"31";"0";"0";"0";8344,7998046875;"6";"0"
"202001";"J";-1;"317110";"101";"9";34;40;16;"1";"1";"0";"1";"40";"0";"0";"0";9598,1904296875;"7";"0"
"202001";"J";-1;"317110";"101";"9";32;40;25;"4";"1";"0";"1";"40";"0";"0";"0";7401,08984375;"10";"0"
