"competência";"seção";"saldomovimentação";"cbo2002ocupação";"categoria";"graudeinstrução";"idade";"horascontratuais";"tempoemprego";"raçacor";"sexo";"tipoempregador";"tipoestabelecimento";"tipomovimentação";"tipodedeficiência";"indtrabintermitente";"indtrabparcial";"salário";"tamestabjan";"indicadoraprendiz"
"202001";"M";1;"212405";"101";"8";29;40;11;"6";"1";"0";"1";"20";"0";"0";"0";5000;"7";"0"
"202001";"J";1;"212405";"101";"9";36;40;11;"3";"1";"0";"1";"20";"0";"0";"0";10768,080078125;"7";"0"
"202001";"J";1;"317110";"101";"8";22;40;11;"1";"1";"0";"1";"20";"0";"0";"0";2921,65991210938;"4";"0"
"202001";"M";1;"212405";"101";"9";27;44;11;"1";"3";"0";"1";"20";"0";"0";"0";2015;"4";"0"
"202001";"K";1;"317110";"101";"9";46;44;11;"1";"1";"0";"1";"20";"0";"0";"0";8709,6796875;"5";"0"
"202001";"J";1;"317110";"101";"8";22;40;12;"1";"1";"0";"1";"10";"0";"0";"0";3000;"2";"0"
"202001";"J";1;"212405";"101";"9";20;40;11;"3";"1";"0";"1";"20";"0";"0";"0";8200;"9";"0"
"202001";"J";1;"212405";"101";"9";21;40;11;"3";"1";"0";"1";"20";"0";"0";"0";1675,56994628906;"5";"0"
"202001";"J";1;"317110";"101";"8";25;40;11;"3";"1";"0";"1";"20";"0";"0";"0";3408,9599609375;"7";"0"
"202001";"J";1;"212405";"101";"9";24;40;11;"1";"1";"0";"1";"20";"0";"0";"0";3472,8798828125;"3";"0"
"202001";"G";1;"212405";"101";"9";32;44;11;"1";"1";"0";"1";"20";"0";"0";"0";8000;"7";"0"
"202001";"J";1;"212405";"101";"9";25;40;11;"1";"3";"0";"1";"20";"0";"0";"0";2180;"6";"0"
"202001";"K";1;"212405";"101";"9";25;40;12;"3";"3";"0";"1";"20";"0";"0";"0";7600;"10";"0"
"202001";"J";1;"317110";"101";"9";31;40;11;"1";"3";"0";"1";"20";"0";"0";"0";12500;"10";"0"
"202001";"J";1;"212405";"101";"80";27;40;11;"3";"1";"0";"1";"20";"0";"0";"0";8500;"5";"0"
"202001";"J";1;"212405";"101";"8";23;40;12;"3";"3";"0";"1";"10";"0";"0";"0";2370,07006835938;"6";"0"
"202001";"P";1;"212405";"101";"8";21;44;12;"6";"1";"0";"1";"20";"0";"0";"0";2500;"2";"0"
